cl_min_perf,cl_max_perf,cl_median_perf,cl_mean_perf,cl_std_perf,pr_min_perf,pr_max_perf,pr_median_perf,pr_mean_perf,pr_std_perf,p_min_perf,p_max_perf,p_median_perf,p_mean_perf,p_std_perf,classifier-num,preprocessor-num,preprocessor,classifier,pipeline
0.0106581644331017,1.0,0.8031606942638081,0.7406746888072195,0.2200649593855933,5.306792360277604e-06,1.0,0.7912087912087911,0.7183673989641628,0.2414654502775805,0.0459810188851026,1.0,0.7125284052177292,0.6842119094323222,0.2300212251801917,7,8,pca,lda,pca-lda
0.0,1.0,0.7838351480071816,0.6845613534589188,0.2849750017045113,0.0,1.0,0.8098587325750048,0.7221757397155247,0.2534540684549451,0.0180413121166718,1.0,0.8563791566856729,0.7797185190602139,0.2231820150015616,10,1,fast_ica,mlp,fast_ica-mlp
0.0,1.0,0.7838351480071816,0.6845613534589188,0.2849750017045113,0.0,1.0,0.7975153191740494,0.7154069144610226,0.2565631614810367,0.0006265664160401,1.0,0.8114104197665767,0.7322562584331247,0.2443521638129063,10,11,select_percentile_classification,mlp,select_percentile_classification-mlp
0.0,1.0,0.6868417720358763,0.6348791596130984,0.2707159461494897,0.0,1.0,0.8098587325750048,0.7221757397155247,0.2534540684549451,0.0,0.992854315219596,0.562692394970148,0.5606080503860824,0.2656172988002602,13,1,fast_ica,qda,fast_ica-qda
0.0004262574595055,1.0,0.9140866590868748,0.8297617393432654,0.2149989629735834,0.0,1.0,0.8298127021022589,0.7458946877406527,0.2432849753229347,0.0772200772200772,1.0,0.9580946867627635,0.9142682949795884,0.1137982767952129,5,6,no_preprocessing,gradient_boosting,no_preprocessing-gradient_boosting
0.0027452222574173,1.0,0.8138242405326149,0.7508251068664165,0.2182601258112605,6.192917290686654e-05,1.0,0.8278892695961235,0.7609511780611006,0.2186296435741766,0.0942277794956366,1.0,0.8730055870537601,0.8407155219158947,0.1482990059324843,8,10,random_trees_embedding,liblinear_svc,random_trees_embedding-liblinear_svc
0.0004262574595055,1.0,0.9140866590868748,0.8297617393432654,0.2149989629735834,0.0,1.0,0.8391243051365023,0.742669168994915,0.253994487338153,0.1366871108656033,1.0,0.95,0.8967932919061445,0.1385556644936935,5,2,feature_agglomeration,gradient_boosting,feature_agglomeration-gradient_boosting
0.0106581644331017,1.0,0.8031606942638081,0.7406746888072195,0.2200649593855933,0.0,1.0,0.8042143299770278,0.7271841258416253,0.2444456679056478,0.1097779701949505,1.0,0.7912087912087911,0.7392984549523528,0.2109407754374287,7,0,extra_trees_preproc_for_classification,lda,extra_trees_preproc_for_classification-lda
0.0008430092886448,1.0,0.8935140982816414,0.8458874639658579,0.1575746059599131,0.0,1.0,0.8298127021022589,0.7458946877406527,0.2432849753229347,0.3659723309827602,1.0,0.9123366509398996,0.8780421696873096,0.1128628828137551,14,6,no_preprocessing,random_forest,no_preprocessing-random_forest
0.0,1.0,0.6507524750716878,0.5882849163545284,0.2986302702387222,0.0,1.0,0.8042143299770278,0.7271841258416253,0.2444456679056478,0.0166570690986146,1.0,0.7474549139833688,0.6850963524198138,0.2437857655591338,15,0,extra_trees_preproc_for_classification,sgd,extra_trees_preproc_for_classification-sgd
0.0001060958869443,1.0,0.6674997323363305,0.6157928064593604,0.2561494848859982,0.0,1.0,0.8098587325750048,0.7221757397155247,0.2534540684549451,0.1121606824548,0.9928458051181328,0.7232853166594907,0.6812319263189087,0.2050360845786385,1,1,fast_ica,bernoulli_nb,fast_ica-bernoulli_nb
0.0,1.0,0.8929169329216888,0.8410117983854665,0.1694990582412101,0.0,1.0,0.7975153191740494,0.7154069144610226,0.2565631614810367,0.077039445460498,1.0,0.8945520578799271,0.838887902581378,0.1799896860463049,6,11,select_percentile_classification,k_nearest_neighbors,select_percentile_classification-k_nearest_neighbors
